 001  247091066   13 14 19 16  1767 318C4-1 8   2CY 14.0000 19.1000 15.9119               6                        FARGO W150 PICKUP 4WD
 001  247091068   13 15 20 17  1651 318A3-1 8   2LY 14.5048 20.1053 16.5836               6                        FARGO W250 PICKUP 4WD
 001  247091068   13 14 19 16  1767 318C4-1 8   2CY 14.0000 19.1000 15.9119               6                        FARGO W250 PICKUP 4WD
 001  248065020   13 13 17 15  1903 318A3-1 8   4LY 12.9013 17.1813 14.5301               6                        W150 PICKUP 4WD
 001  248065020   13 12 18 14  2062 318C4-1 8   4CY 12.1654 18.0676 14.2619               6                        W150 PICKUP 4WD
 001  248065025   13 12 16 14  2062 318A3-1 8   4LY 12.2000 16.4000 13.7891               6                        W250 PICKUP 4WD
 001  248065025   13 12 17 14  2062 318C4-1 8   4CY 11.6000 17.1000 13.5631               6                        W250 PICKUP 4WD
 001  248065075   18 12 16 14  2062 318A3-1 8   4LY 12.2000 16.4000 13.7891               6                        AW150 RAMCHARGER 4WD
 001  248065075   18 12 17 14  2062 318C4-1 8   4CY 11.6000 17.1000 13.5631               6                        AW150 RAMCHARGER 4WD
 001  248091066   13 13 17 14  1903 318A3-1 8   4LY 12.7245 16.9857 14.3438               6                        FARGO W150 PICKUP 4WD
 001  248091066   13 12 18 14  2062 318C4-1 8   4CY 12.3000 18.3000 14.4288               6                        FARGO W150 PICKUP 4WD
 001  248091068   13 12 16 14  2062 318A3-1 8   4LY 12.2000 16.4000 13.7891               6                        FARGO W250 PICKUP 4WD
 001  248091068   13 12 17 14  2062 318C4-1 8   4CY 11.6000 17.1000 13.5631               6                        FARGO W250 PICKUP 4WD
 100  315019032    1 26 38 30   953  98A3-1 4   2AY 25.7000 37.7000 29.9966( 1.6L)        6                        EXP
 100  315024032    1 26 38 30   953  98A3-1 4   2AY 25.7000 37.7000 29.9966( 1.6L)        6                        LN-7
 100  315119030    4 31 47 36   799  98M4-2 4   2MY 30.8402 46.9308 36.4665( 1.6L)        6                        ESCORT
 100  315124030    4 31 47 36   799  98M4-2 4   2MY 30.8402 46.9308 36.4665( 1.6L)        6                        LYNX
 100  316019032    1 29 46 34   854  98M4-2 4   2MY 28.5322 46.2674 34.4798( 1.6L)        6                        EXP                             (CALIF)
 100  316024032    1 29 46 34   854  98M4-2 4   2MY 28.5322 46.2674 34.4798( 1.6L)        6                        LN-7                            (CALIF)
 100  316119030    4 29 41 33   854  98A3-1 4   2AY 28.8408 41.0216 33.2889( 1.6L)        6                        ESCORT
 100  316119035    7 29 41 33   854  98A3-1 4   2AY 28.8408 41.0216 33.2889( 1.6L)        6                        ESCORT WAGON
 100  316124030    4 29 41 33   854  98A3-1 4   2AY 28.8408 41.0216 33.2889( 1.6L)        6                        LYNX
 100  316124035    7 29 41 33   854  98A3-1 4   2AY 28.8408 41.0216 33.2889( 1.6L)        6                        LYNX WAGON
 100  316219030    4 28 44 33   884  98M4-2 4   2MY 27.7253 44.1490 33.2998( 1.6L)        6                        ESCORT                          (CALIF)
 100  316219035    7 28 44 33   884  98M4-2 4   2MY 27.7435 44.2129 33.3306( 1.6L)        6                        ESCORT WAGON                    (CALIF)
 100  316224030    4 28 44 33   884  98M4-2 4   2MY 27.7112 44.0995 33.2760( 1.6L)        6                        LYNX                            (CALIF)
